date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
10/29/1922,1922,0,,RAC,RCH,1430.307,1466.471,0.541403315,0.458596685,1451.153,1445.625,9,0
10/29/1922,1922,0,,AKR,OOR,1552.859,1313.459,0.852238541,0.147761459,1563.615,1302.703,62,0
10/29/1922,1922,0,,TOL,LOU,1545.095,1388.471,0.781728927,0.218271073,1559.724,1373.841,39,0
10/29/1922,1922,0,,ARI,COL,1521.344,1353.711,0.792349005,0.207650995,1534.361,1340.694,37,6
10/29/1922,1922,0,,MIL,HAM,1348.95,1394.265,0.528298718,0.471701282,1348.087,1395.128,0,0
10/29/1922,1922,0,,DAY,BFF,1553.854,1594.904,0.53441233,0.46558767,1531.384,1617.375,0,7
11/5/1922,1922,0,,ARI,BFF,1534.361,1617.375,0.474098976,0.525901024,1546.011,1605.724,9,7
11/5/1922,1922,0,,GB,COL,1416.887,1340.694,0.692699938,0.307300062,1424.894,1332.688,3,0
11/5/1922,1922,0,,CHI,DAY,1639.378,1531.384,0.73023861,0.26976139,1650.896,1519.867,9,0
11/5/1922,1922,0,,AKR,HAM,1563.615,1395.128,0.793156685,0.206843315,1575.341,1383.402,22,0
11/5/1922,1922,0,,RAC,LOU,1451.153,1373.841,0.69406941,0.30593059,1474.488,1350.506,57,0
11/5/1922,1922,0,,MNN,OOR,1456.049,1302.703,0.778492104,0.221507896,1464.43,1294.323,13,6
11/5/1922,1922,0,,CBD,TOL,1637.979,1559.724,0.695220833,0.304779167,1632.025,1565.678,0,0
11/11/1922,1922,0,,RAC,COL,1474.488,1332.688,0.766819122,0.233180878,1489.644,1317.532,34,0
11/12/1922,1922,0,,GB,MNN,1424.894,1464.43,0.536580167,0.463419833,1445.025,1444.298,14,6
11/12/1922,1922,0,,LOU,ECG,1350.506,1387.704,0.539925113,0.460074887,1369.401,1368.809,13,6
11/12/1922,1922,0,,RII,DAY,1567.237,1519.867,0.656301105,0.343698895,1591.985,1495.119,43,0
11/12/1922,1922,0,,CBD,BFF,1632.025,1605.724,0.628449481,0.371550519,1641.916,1595.833,3,0
11/12/1922,1922,0,,ARI,AKR,1546.011,1575.341,0.551153656,0.448846344,1564.38,1556.972,7,0
11/12/1922,1922,0,,CHI,OOR,1650.896,1294.323,0.918845949,0.081154051,1655.435,1289.784,33,6
11/19/1922,1922,0,,RAC,GB,1489.644,1445.025,0.652720184,0.347279816,1484.986,1449.683,3,3
11/19/1922,1922,0,,MIL,OOR,1348.087,1289.784,0.670354562,0.329645438,1364.563,1273.308,13,0
11/19/1922,1922,0,,CHI,RII,1655.435,1591.985,0.676868497,0.323131503,1663.899,1583.52,3,0
11/19/1922,1922,0,,ARI,CBD,1564.38,1641.916,0.481967071,0.518032929,1544.45,1661.847,0,7
11/19/1922,1922,0,,BFF,AKR,1595.833,1556.972,0.645169297,0.354830703,1591.406,1561.399,3,3
11/26/1922,1922,0,,CHI,AKR,1663.899,1561.399,0.723963427,0.276036573,1676.201,1549.098,20,10
11/26/1922,1922,0,,BFF,OOR,1591.406,1273.308,0.900723493,0.099276507,1535.457,1329.257,7,19
11/26/1922,1922,0,,GB,MIL,1449.683,1364.563,0.703529103,0.296470897,1464.332,1349.914,13,0
11/26/1922,1922,0,,RAC,HAM,1484.986,1383.402,0.722908441,0.277091559,1495.011,1373.377,6,0
11/26/1922,1922,0,,CBD,ARI,1661.847,1544.45,0.740767512,0.259232488,1675.686,1530.611,20,3
11/26/1922,1922,0,,TOL,COL,1565.678,1317.532,0.85846675,0.14153325,1567.396,1315.814,7,6
11/30/1922,1922,0,,ARI,CHI,1530.611,1676.201,0.386057884,0.613942116,1555.413,1651.399,6,0
11/30/1922,1922,0,,RCH,BFF,1445.625,1535.457,0.464324605,0.535675395,1417.24,1563.841,0,21
11/30/1922,1922,0,,CBD,AKR,1675.686,1549.098,0.750797318,0.249202682,1688.101,1536.682,14,0
11/30/1922,1922,0,,RAC,MIL,1495.011,1349.914,0.770195521,0.229804479,1500.827,1344.098,3,0
11/30/1922,1922,0,,COL,OOR,1315.814,1329.257,0.573656628,0.426343372,1285.68,1359.391,6,18
12/3/1922,1922,0,,BFF,AKR,1563.841,1536.682,0.629602018,0.370397982,1583.986,1516.538,16,0
